,Body,labels
102,   Your favourite app Helpchat is now called Tapzo! Everything's the same. Except our name. Helpchat cash is now Tapzo cash. Update now: bit.ly/Tapzo ,online
103,"   Congratulations! Your wallet has been rewarded Rs.100.00 as Sign Up Bonus. Future Pay is the most Convenient/Rewarding way to Shop at Big Bazaar, Ezone and Home Town ",online
104,"   Welcome to Oxigen Wallet.Your password is 123456. Visit www.oxigenwallet.com and start using your wallet for money transfer, recharges, bill payments and more ",online
105,"   Delivered: Reebok REEBOK SPEED Me... with tracking ID FMPC0155341715 from flipkart.com was delivered,  today. Click to give feedback: http://ekrt.it/IICOBNNNNN ",online
106,"   Out for Delivery: Reebok EXCLUSIVE RUNNE... with tracking ID FMPC0155454240 from flipkart.com, will be delivered  before 7pm today by an EKART Wish Master . Please pay Rs.1249.0 by cash or card. ",online
107,"   Delivery Scheduled: Reebok REEBOK SPEED Me... with tracking ID FMPC0155341715 from flipkart.com, will be delivered today. You can change your delivery preferences before it is out for delivery, here: http://ekrt.it/dCagIuuuuN ",online
108,   Your Amazon Prime free trial has ended. Join today at a special price of Rs.499 to continue enjoying benefits www.amazon.in/prime/ref=prex      ,online
109,   AirFares@ EaseMyTrip.com -Lowest Price Challenge -ZERO Convenience Fee -4 Million Happy customers -Instant Refunds^^24x7 Support Team Email: care@EaseMyTrip.com ,others
110,"   Win FREE holiday to Europe, Dubai & Thailand^^Use Code: LUCKYHOLIDAY while booking ur next air-ticket from EaseMyTrip^^For details: http://bit.ly/luckyhol1 ",others
111,   Lowest Air-Fare Challenge  Get upto Rs.2000 OFF on Air-tickets to fly before 15th Aug.  Use Code: EASEFLY  www.EaseMyTrip.com Search once before booking online. ,others
112,   www.EaseMyTrip.com : Lowest Fare Challenge.  Use Code: FLYNEW to Get FLAT 500/- instant discount on your flight bookings.  Hurry! Offer valid only till 6th July ,others
113,   Goibibo Hot Summer Sale - Upto 70% off + 20% goCash usage on Hotels. Ends in 72 hours. Book Now! http://go.ibi.bo/W1ad/mYjTqPZlWA ,others
114,"   Dear Yash, Rs 2000.0 is credited to your goCash a/c. Your Net goCash Balance is Rs 2000.0 as on 31 Oct 2016 11AM. Logon to Goibibo.com to pay for bookings using goCash. ",others
